food_id,display_name_ko,basis,serving_name,serving_g,energy_kcal,carb_g,protein_g,fat_g,sodium_mg,source,updated,notes
food_bibimbap,비빔밥,per_100g,100 g,100,146.0,22.44,5.51,3.5,108.0,FatSecret,2025-11-15,
food_doenjang_jjigae,된장찌개,per_100g,100 g,100,86.0,8.38,7.5,2.8,341.0,FatSecret,2025-11-15,
food_fried_chicken,후라이드치킨,per_100g,100 g,100,290.0,9.98,22.31,17.27,302.0,FatSecret,2025-11-15,
food_gimbap,김밥,per_100g,100 g,100,118.0,25.8,2.21,0.24,98.0,FatSecret,2025-11-15,
food_hamburger,햄버거,per_100g,100 g,100,290.0,28.83,15.71,11.8,397.0,FatSecret,2025-11-15,
food_jajangmyeon,자장면,per_100g,100 g,100,175.0,28.76,5.96,4.44,133.0,FatSecret,2025-11-15,
food_kimchi_jjigae,김치찌개,per_100g,100 g,100,60.0,3.23,3.76,3.79,221.0,FatSecret,2025-11-15,
food_pizza,피자,per_100g,100 g,100,258.0,28.87,9.53,11.37,541.0,FatSecret,2025-11-15,
food_ramen,라멘,per_100g,100 g,100,436.0,63.27,10.29,15.71,2002.0,FatSecret,2025-11-15,
food_risotto,리소토,per_100g,100 g,100,195.0,22.53,8.17,7.55,363.0,FatSecret,2025-11-15,
food_spaghetti_bolognese,스파게티 볼로네제,per_100g,100 g,100,129.25,21.08,4.42,3.0,234.69,FatSecret,2025-11-15,
food_spaghetti_carbonara,스파게티 까르보나라,per_100g,100 g,100,248.07,33.46,6.15,10.0,480.77,FatSecret,2025-11-15,
food_sushi,초밥,per_100g,100 g,100,143.0,29.9,4.3,0.42,596.0,FatSecret,2025-11-15,
food_tangsuyuk,탕수육,per_100g,100 g,100,197.0,21.58,9.0,7.98,149.0,FatSecret,2025-11-15,
food_tteokbokki,떡볶이,per_100g,100 g,100,140.0,30.21,3.49,1.45,124.0,FatSecret,2025-11-15,
food_yangnyeom_chicken,양념치킨,per_100g,100 g,100,288.0,13.72,16.44,18.01,231.0,FatSecret,2025-11-15,
